,name,latitude,longitude,empty_slots,free_bikes,total_bikes
118,51 Parliament St,43.65205,-79.362198,4,15,19
119,Queen's Park / Bloor St W,43.668456,-79.393899,18,5,23
120,Fort York Blvd / Bathurst St - SMART,43.639052,-79.399792,2,18,20
121,Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,1,15,16
122,Queen St W / Cowan Ave,43.6409,-79.432837,4,15,19
123,Harbord St / Clinton St,43.660414,-79.415646,3,12,15
124,Central Tech  (Harbord St),43.661975,-79.407896,5,5,10
125,Roxton Rd / Harbord St,43.65905,-79.422988,7,4,11
126,Ulster St / Bathurst St,43.66,-79.4088888888889,4,7,11
127,Mortimer Ave / Coxwell Ave,43.690564,-79.326319,13,10,23
128,Danforth Ave / Barrington Ave,43.688325,-79.300463,10,5,15
129,Pacific Ave / Glenlake Ave,43.65716,-79.46478,9,14,23
130,Broadview Subway Station,43.6772,-79.35858,6,9,15
131,Church St  / Wood St,43.662712,-79.379903,6,13,19
132,College Park - Gerrard Entrance,43.658938,-79.383518,19,5,24
133,Danforth Ave / Coxwell Ave,43.683378,-79.322961,4,11,15
134,12 Harbour St,43.6425636,-79.3762,2,13,15
135,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,6,6,12
136,Yonge St / Bloor St,43.669969,-79.386532,13,1,14
137,Dufferin Gate - SMART,43.633473,-79.425679,8,7,15
138,Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,21,13,34
139,Bloor St W / Shaw St - SMART,43.662403,-79.423098,14,19,33
140,Concord Ave / Dewson St,43.656945,-79.424911,7,9,16
141,Hocken Ave / Vaughan Rd,43.6817346,-79.4184725,12,6,18
142,St Clair Ave W / Bathurst St.,43.683296,-79.418734,13,6,19
143,Queen St E / Nursewood Rd,43.673831,-79.281455,10,8,18
144,Kewbeach Ave / Kenilworth Ave,43.666325,-79.3014,13,10,23
145,Lakeview Ave / Harrison St (Green P) – SMART,43.651145,-79.423742,1,14,15
146,Baldwin St / Spadina Ave - SMART,43.654905,-79.398448,8,12,20
147,Frederick St / King St E,43.651118,-79.369411,2,20,22
148,College St / Borden St,43.6571,-79.4056,5,6,11
149,Beverley  St / Dundas St W,43.652823,-79.393388,15,15,30
150,Bay St / St. Joseph St,43.665527,-79.387499,10,5,15
151,Gould St / Mutual St,43.6582,-79.3768,0,29,29
152,Riverdale Park North (Broadview Ave),43.671172,-79.354704,11,4,15
153,Danforth Ave / Ellerbeck St,43.677076,-79.35667,3,11,14
154,Pape Subway Station (Green P),43.680223,-79.344062,11,4,15
155,Danforth Ave / Gough Ave,43.678401,-79.346289,9,8,17
156,Danforth Ave / Lamb Ave,43.681991,-79.329455,13,6,19
157,King St W / Stafford St,43.6422222,-79.41111111111111,7,8,15
158,Bathurst St / Lennox St,43.663808,-79.410491,9,10,19
159,Bathurst Subway Station,43.6666667,-79.41166666666668,18,4,22
160,Bloor St W / Christie St,43.6638889,-79.41888888888889,14,3,17
161,Ossington Ave / Bloor St W,43.661705,-79.425734,7,3,10
162,Essex St / Christie St - SMART,43.6686111,-79.42027777777778,13,6,19
163,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,17,1,18
164,Havelock St / Dufferin Park,43.657343,-79.43112,17,2,19
165,Bathurst St / Adelaide St W,43.645324,-79.40345,3,22,25
166,Mill St / Parliament St,43.650256,-79.36163,8,7,15
167,Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,3,16,19
168,80 Clinton St,43.656296,-79.414663,10,4,14
169,Claremont St / Dundas St W,43.651281,-79.411717,2,9,11
170,Rusholme Park Cres / College St,43.65277778,-79.42972222,3,12,15
171,College St / Crawford St,43.655,-79.418889,5,14,19
172,Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,8,11,19
173,Queen St E / Alton Av,43.663912,-79.327987,12,7,19
174,Simcoe St / Wellington St W North,43.6462176,-79.3855048,7,8,15
175,Coxwell Ave / Plains Rd,43.69595,-79.328535,5,14,19
176,Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,5,10,15
177,Logan Ave / Bain Ave,43.6720273,-79.3470557,4,7,11
178,Liberty St / Fraser Ave Green P,43.637981,-79.424146,4,15,19
179,King St W / Douro St,43.640885,-79.416379,4,7,11
180,Queen St E / Berkeley St,43.6552778,-79.36583333333333,4,10,14
181,Howard St / Sherbourne St,43.6712581,-79.376367,8,6,14
182,Carlton St / Parliament St,43.664524,-79.36793,11,16,27
183,Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506,9,6,15
184,King St W / Bay St (East Side),43.648575,-79.380042,15,4,19
185,Front St W / Blue Jays Way,43.643473,-79.390477,3,12,15
186,Metro Hall Plaza,43.645859,-79.38783,25,2,27
187,Parliament St / Gerrard St E,43.662132,-79.3656796,13,10,23
188,Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,3,8,11
189,Jarvis St / Carlton St,43.66207,-79.37617,2,12,14
190,Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,9,2,11
191,Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,7,8,15
192,Yonge St / Dundonald St - SMART,43.665801,-79.384796,7,5,12
193,Bay St / Charles St W - SMART,43.668153,-79.38891,14,6,20
194,Church St / Dundas St E - SMART,43.657024,-79.377257,8,6,14
195,Yonge St / Alexander St - SMART,43.662862,-79.383572,17,1,18
196,Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,18,2,20
197,Balliol St / Yonge St  SMART,43.6978701,-79.39419,27,8,35
198,Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,12,6,18
199,Front St E / Scott St,43.6476616,-79.37549,4,7,11
200,Frederick St / The Esplanade,43.6487245,-79.36839,6,13,19
201,King St W / Bay St (West Side),43.64852,-79.380576,29,10,39
202,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,6,9,15
203,King St W / Spadina Ave,43.645323,-79.395003,6,12,18
204,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,11,4,15
205,Queens Quay / Yonge St,43.641646,-79.375308,10,20,30
206,Front St W / Bay St (North Side),43.646162,-79.378912,5,6,11
207,Danforth Ave / Westlake Ave,43.687323,-79.304848,11,4,15
208,Jarvis St / Isabella St,43.668991,-79.379385,19,3,22
209,Yonge St / Wood St,43.6622222,-79.3825,3,12,15
210,King St W / Tecumseth St,43.64333333333333,-79.40555555555557,8,8,16
211,Beverley St / College St,43.6575,-79.39527777777778,10,13,23
212,Gould St / Yonge St (TMU),43.657424,-79.381019,11,11,22
213,Front St W / Bay St (South Side),43.64595,-79.378761,4,15,19
214,Charles St W / Balmuto St - SMART,43.668427,-79.38725,14,6,20
215,Charles St E / Jarvis St - SMART,43.669604,-79.381171,10,10,20
216,Queen St E / Pape Ave - SMART,43.661673,-79.337789,6,8,14
217,Gerrard St E / Broadview Ave  - SMART,43.665656,-79.352055,5,11,16
218,Humber Bay Shores Park East,43.6308933,-79.4722622,1,20,21
219,Humber Bay Shores Park West,43.6224434,-79.480284,6,23,29
220,Taddle Creek Park,43.66986,-79.398443,9,6,15
221,Thompson St / Broadview Ave - SMART,43.659471,-79.350325,0,11,11
222,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,16,3,19
223,Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,5,11,16
224,King St W / Cowan Ave - SMART,43.637922,-79.431734,11,4,15
225,Garden Ave / Roncesvalles Ave,43.643769,-79.447915,0,18,18
226,Sorauren Ave / Geoffrey St - SMART,43.649172,-79.4445087,13,3,16
227,Bloor St W / Manning Ave - SMART,43.663912,-79.416124,14,6,20
228,Simcoe St / Wellington St W South,43.6458569,-79.3853654,9,18,27
229,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,3,13,16
230,Berkeley St / Dundas St E - SMART,43.658816,-79.367318,1,16,17
231,128 Sterling Rd - SMART,43.654004,-79.444792,3,17,20
232,Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,7,11,18
233,Sackville St / Eastern Ave - SMART,43.653809,-79.3595,3,8,11
234,Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,6,6,12
235,Sumach St  / Queen St E,43.656638,-79.358749,6,13,19
236,Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,11,2,13
237,Gerrard St E / Main St,43.684261,-79.299332,15,7,22
238,Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,7,5,12
239,Neil McLellan Park,43.65143,-79.47779,5,9,14
240,Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,7,7,14
241,Antler St / Campbell Ave - SMART,43.664182,-79.449066,3,16,19
242,Clarence Square,43.64407,-79.3929,5,18,23
243,Lake Shore Blvd W / Louisa St,43.61868,-79.48674,6,8,14
244,Front St W / Simcoe St,43.6442,-79.38702,14,5,19
245,Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,2,12,14
246,Glendonwynne Rd / Bloor St W,43.65182,-79.47421,10,9,19
247,Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,14,4,18
248,Church St / Lombard St,43.651678,-79.375233,13,4,17
249,Richmond St E / Yonge St,43.651838,-79.378743,12,4,16
250,Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,15,8,23
251,Pottery Rd / Lower Don River Trail,43.688148,-79.362101,0,14,14
252,Bleecker St / St James Ave,43.669232,-79.374495,12,10,22
253,Western Battery Rd / Pirandello St,43.640075,-79.414156,16,15,31
254,Carlaw Ave / Danforth Ave,43.678285,-79.347346,9,6,15
255,Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,7,8,15
256,Goodwood Park Crt / Dentonia Park,43.694826,-79.295208,5,14,19
257,Eastwood Rd / Coxwell Ave,43.673118,-79.318651,9,9,18
258,Trent Ave / Danforth Ave,43.689293,-79.295895,14,9,23
259,Orchard Park,43.66908,-79.3149,13,6,19
260,Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,6,13,19
261,Martin Goodman Trail / Remembrance Dr,43.63121,-79.41414,15,11,26
262,Concord Ave / Bloor St W,43.66189,-79.42679,4,10,14
263,Gothic Ave / Quebec Ave,43.65389,-79.4675,11,7,18
264,Via Italia / Mackay Ave,43.676697,-79.445029,17,1,18
265,Rushton Rd / St Clair Ave W,43.68114,-79.4277,4,7,11
266,Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,2,12,14
267,Gerrard St E / Leslie St,43.669813,-79.3335,8,14,22
268,Marilyn Bell Park Tennis Court,43.633537,-79.437461,18,6,24
269,The Queensway at South Kingsway,43.63632,-79.47307,1,22,23
270,Merton St / Mount Pleasant Rd,43.697819,-79.38786,20,3,23
271,Tyndall Ave / King St W - SMART,43.638426,-79.429142,4,12,16
272,College Park - Yonge St Entrance,43.65988,-79.38279,20,4,24
273,Barton Ave / Howland Ave - SMART,43.66842,-79.410585,11,7,18
274,Keele St / Annette St,43.66402,-79.46418,3,10,13
275,Keele St / Vine Ave,43.66686,-79.46526,0,11,11
276,Howard St / Rose Ave,43.671278,-79.372127,12,7,19
277,Little Norway Park,43.635023,-79.399505,9,13,22
278,Isabella St / Church St,43.66834,-79.38235,2,16,18
279,University Ave / Armoury St,43.65263,-79.38766,21,2,23
280,Lascelles Blvd / Eglinton Ave W,43.70547,-79.40355,18,1,19
281,Polson Pier,43.641675,-79.354006,13,9,22
